zone,dwtype,npers,nveh,nlic,nftw,nptw,nwah,nstud,nfem,nmale,nchild,n65+,nwork,nnwk,expfac,count
1,224,260,107,174,147,28,10,47,130,130,27,17,150,409,3372.94,137
2,322,305,135,207,171,28,14,53,157,147,22,30,173,495,4456.219999999999,181
3,92,113,60,82,63,13,2,24,62,51,7,10,69,206,1557.33,61
4,52,49,34,38,24,3,1,2,29,20,0,11,27,88,765.8999999999999,30
5,90,81,39,62,49,3,0,8,31,50,4,13,54,117,1225.44,48
6,60,107,54,67,58,11,2,21,49,58,15,10,54,163,1335.3999999999996,44
7,573,536,140,288,296,43,4,80,276,259,49,53,318,717,9013.949999999999,297
8,217,195,58,113,118,11,5,25,98,97,11,21,120,290,3490.2500000000005,115
9,330,243,90,177,181,15,5,26,105,138,1,11,188,356,4416.690000000001,173
10,148,142,42,87,64,17,2,41,69,73,15,14,66,197,1991.34,78
11,56,45,12,35,23,1,2,5,23,22,1,12,24,61,714.8399999999999,28
12,64,43,10,27,11,6,3,12,18,25,1,13,20,76,773.85,35
13,69,97,29,48,48,11,4,27,53,43,14,4,57,180,972.84,44
14,76,135,49,78,74,13,2,37,61,73,13,3,70,215,1282.3799999999997,58
15,43,98,23,40,47,5,0,27,41,57,11,8,39,130,685.4100000000001,31
16,145,181,57,108,93,17,6,27,93,88,17,23,82,195,1901.4599999999996,86
17,23,18,4,11,10,1,0,4,14,4,2,3,10,30,326.88,12
18,48,39,16,32,30,2,0,5,22,17,0,1,32,45,653.76,24
19,131,136,47,98,83,3,3,23,61,75,5,15,68,221,1934.0400000000002,71
20,106,123,38,69,65,4,7,12,53,70,21,12,64,137,1942.3999999999999,64
21,79,145,46,69,51,12,7,40,87,58,37,17,55,211,1820.9999999999995,60
22,59,69,9,13,27,7,0,18,31,38,9,10,32,75,1001.5500000000001,33
23,68,117,25,43,49,14,1,29,53,60,24,8,58,151,1335.3999999999996,44
24,143,146,43,75,78,7,5,21,71,75,19,14,74,191,2367.2999999999993,78
25,36,39,11,20,25,4,0,8,18,21,6,1,20,53,517.56,19
26,1,2,2,2,2,0,0,0,1,1,0,0,2,4,27.24,1
28,96,112,33,61,68,7,2,13,52,60,6,13,65,133,1193.9399999999994,54
29,123,178,49,78,83,12,1,44,94,84,27,19,85,210,1614.03,73
31,24,31,10,17,18,5,1,5,14,17,2,1,25,37,368.7599999999999,14
32,5,9,5,6,4,1,1,3,3,6,0,0,2,11,79.02,3
33,4,2,1,2,1,1,0,0,0,2,0,0,2,3,54.48,2
34,6,7,1,2,4,0,1,1,3,4,2,0,4,6,81.72,3
35,10,8,6,7,7,0,0,0,1,7,0,0,6,12,136.2,5
36,31,34,17,24,20,2,2,3,12,22,5,4,28,52,421.44,16
37,99,119,34,70,61,8,2,18,62,57,20,9,57,160,1475.04,56
38,19,15,9,12,11,1,0,2,6,9,0,0,10,14,263.4,10
39,3,4,2,4,3,0,0,0,2,2,0,0,1,5,52.68,2
401,255,185,68,138,125,13,6,20,78,107,2,20,129,268,3293.37,129
402,9,8,2,5,6,0,0,0,4,4,0,1,5,11,127.65,5
403,2,2,1,2,2,0,0,0,1,1,0,0,2,2,25.53,1
404,14,13,7,10,10,1,0,1,7,6,0,0,7,14,154.76999999999998,7
405,6,7,2,4,4,0,1,2,4,3,2,0,2,14,105.36,4
406,5,8,3,5,5,0,0,1,4,4,2,0,5,25,79.02,3
407,3,4,4,4,4,0,0,0,2,2,0,0,4,8,54.48,2
408,2,2,1,1,2,0,0,0,1,1,0,0,2,2,27.24,1
409,37,45,21,34,24,2,3,4,24,21,6,5,23,63,544.8,20
410,16,26,11,18,18,1,2,5,12,14,3,1,17,58,342.4199999999999,13
412,46,45,29,43,32,2,3,3,21,24,0,0,31,75,658.5,25
413,17,15,11,13,13,0,0,1,7,8,1,1,13,26,263.4,10
